,Borough,Neighborhood,Latitude,Longitude
0,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359
1,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938
2,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999
3,Downtown Toronto,St. James Town,43.6514939,-79.3754179
4,East Toronto,The Beaches,43.67635739999999,-79.2930312
5,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064
6,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826
7,Downtown Toronto,Christie,43.669542,-79.4225637
8,Downtown Toronto,"Richmond, Adelaide, King",43.65057120000001,-79.3845675
9,West Toronto,"Dufferin, Dovercourt Village",43.66900510000001,-79.4422593
10,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.6408157,-79.38175229999999
11,West Toronto,"Little Portugal, Trinity",43.647926700000006,-79.4197497
12,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188
13,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6471768,-79.38157640000001
14,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.42819140000002
15,East Toronto,"India Bazaar, The Beaches West",43.6689985,-79.31557159999998
16,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481985,-79.37981690000001
17,East Toronto,Studio District,43.6595255,-79.340923
18,Central Toronto,Lawrence Park,43.7280205,-79.3887901
19,Central Toronto,Roselawn,43.7116948,-79.41693559999999
20,Central Toronto,Davisville North,43.7127511,-79.3901975
21,Central Toronto,"Forest Hill North & West, Forest Hill Road Park",43.6969476,-79.41130720000001
22,West Toronto,"High Park, The Junction South",43.6616083,-79.46476329999999
23,Central Toronto,"North Toronto West,  Lawrence Park",43.7153834,-79.40567840000001
24,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.40567840000001
25,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325
26,Central Toronto,Davisville,43.7043244,-79.3887901
27,Downtown Toronto,"University of Toronto, Harbord",43.6626956,-79.4000493
28,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499
29,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.38315990000001
30,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493
31,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.68641229999999,-79.4000493
32,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6289467,-79.3944199
33,Downtown Toronto,Rosedale,43.6795626,-79.37752940000001
34,Downtown Toronto,Stn A PO Boxes,43.6464352,-79.37484599999999
35,Downtown Toronto,"St. James Town, Cabbagetown",43.667967,-79.3676753
36,Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802
37,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001
38,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",43.6627439,-79.321558
